week_start,black_friday,black_friday_next,christmas,post_christmas,soldes_early,soldes_late,rentree,august,revenue,discount_depth,spend_search_nonbrand,spend_search_brand,spend_social,spend_display,spend_video,spend_affiliate
2023-01-02,0,0,0,0,0,0,0,0,437895.37,0.0253,27251.41,5848.32,24931.47,20552.96,0.0,10421.15
2023-01-09,0,0,0,0,1,0,0,0,626800.92,0.35,37641.31,12023.16,38514.55,28350.1,34310.89,18315.49
2023-01-16,0,0,0,0,1,0,0,0,566313.41,0.35,20280.96,8407.15,32409.59,18951.98,17905.63,12997.98
2023-01-23,0,0,0,0,0,1,0,0,572642.61,0.2,16476.48,11718.5,21543.27,19715.3,22689.75,13006.33
2023-01-30,0,0,0,0,0,1,0,0,556374.44,0.2,19930.55,9344.56,26423.99,18633.04,23493.96,11358.92
2023-02-06,0,0,0,0,0,0,0,0,533818.07,0.0401,29491.99,14730.76,23314.3,22062.13,0.0,12932.86
2023-02-13,0,0,0,0,0,0,0,0,489687.3,0.0416,14646.08,7771.02,12994.53,10283.21,0.0,6928.18
2023-02-20,0,0,0,0,0,0,0,0,498253.41,0.0448,21486.41,15825.26,25082.77,19168.43,0.0,11831.18
2023-02-27,0,0,0,0,0,0,0,0,450191.49,0.0374,18046.92,8541.9,21771.9,16692.22,0.0,7859.37
2023-03-06,0,0,0,0,0,0,0,0,403743.95,0.046,16106.21,8061.42,16887.41,13949.4,0.0,9786.23
2023-03-13,0,0,0,0,0,0,0,0,428099.41,0.0475,14992.36,5492.02,38072.53,12525.39,0.0,8186.65
2023-03-20,0,0,0,0,0,0,0,0,429559.63,0.0705,18985.84,7991.92,46386.31,16593.89,0.0,10834.89
2023-03-27,0,0,0,0,0,0,0,0,382223.93,0.0618,16834.71,5067.72,21640.43,13176.01,0.0,10731.78
2023-04-03,0,0,0,0,0,0,0,0,356106.93,0.0695,13102.92,4194.96,10529.29,8896.88,0.0,5465.62
2023-04-10,0,0,0,0,0,0,0,0,346312.89,0.0533,13740.41,3474.11,15940.71,10629.86,0.0,7631.27
2023-04-17,0,0,0,0,0,0,0,0,379171.52,0.076,13877.65,3426.19,15063.63,11306.72,0.0,7124.38
2023-04-24,0,0,0,0,0,0,0,0,321960.96,0.0766,15966.94,4437.29,17765.88,14253.64,0.0,9247.14
2023-05-01,0,0,0,0,0,0,0,0,299837.05,0.0609,11923.84,3420.29,11598.08,9440.78,0.0,5514.88
2023-05-08,0,0,0,0,0,0,0,0,337560.63,0.0498,14738.36,3694.75,15129.89,13165.74,0.0,7822.72
2023-05-15,0,0,0,0,0,0,0,0,368107.14,0.0397,16225.04,5844.86,35962.93,9989.28,0.0,7411.18
2023-05-22,0,0,0,0,0,0,0,0,379526.24,0.0655,18480.21,4043.18,34050.91,12908.2,0.0,9961.54
2023-05-29,0,0,0,0,0,0,0,0,324142.71,0.0527,11723.47,3648.61,11553.83,9864.58,0.0,6879.82
2023-06-05,0,0,0,0,0,0,0,0,418827.74,0.0499,15564.35,3177.13,27254.05,10168.52,0.0,6835.9
2023-06-12,0,0,0,0,0,0,0,0,407349.52,0.0473,16416.53,4400.06,42609.92,14398.23,0.0,7334.4
2023-06-19,0,0,0,0,0,0,0,0,309177.6,0.0475,18521.7,3804.11,21740.98,13436.27,0.0,6364.32
2023-06-26,0,0,0,0,1,0,0,0,415723.35,0.35,17177.81,4920.37,15906.78,15365.74,0.0,10081.59
